Nomer elektrolizera,,,min,max
0.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_2,11.247685061832176,22.9
0.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._0,0.1,1.1352312631443486
0.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._1,1.1352312631443486,5.251733355105181
0.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._2,5.251733355105181,23.7
0.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_0,0.7,2.193830960062933
0.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_1,2.193830960062933,8.613886081737693
0.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_2,8.613886081737693,47.6
0.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._0,2575.0,6403.83919415171
0.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._1,6403.83919415171,7258.270495062184
0.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._2,7258.270495062184,9223.0
0.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_0,89.0,747.7919286149686
0.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_1,747.7919286149686,1300.0726642487093
0.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_2,1300.0726642487093,1996.0
0.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_0,1492.0,2640.383901536839
0.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_1,2640.383901536839,3884.0347456295226
0.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_2,3884.0347456295226,5776.0
0.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_0,211.0,1943.8392600794373
0.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_1,1943.8392600794373,3051.2687985286216
0.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_2,3051.2687985286216,4685.0
0.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_0,0.0,-19.80937133903729
0.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_1,-19.80937133903729,96.70434850798705
0.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_2,96.70434850798705,431.0
0.0,Kol-vo nedopitok,Kol-vo nedopitok_0,0.0,12.795992199364388
0.0,Kol-vo nedopitok,Kol-vo nedopitok_1,12.795992199364388,18.13819427229923
0.0,Kol-vo nedopitok,Kol-vo nedopitok_2,18.13819427229923,23.0
0.0,Kol-vo perepitok,Kol-vo perepitok_0,0.0,11.94211201685317
0.0,Kol-vo perepitok,Kol-vo perepitok_1,11.94211201685317,17.06154429027663
0.0,Kol-vo perepitok,Kol-vo perepitok_2,17.06154429027663,21.0
0.0,Kol-vo testov,Kol-vo testov_0,0.0,-0.20960580948492624
0.0,Kol-vo testov,Kol-vo testov_1,-0.20960580948492624,3.0706661385525678
0.0,Kol-vo testov,Kol-vo testov_2,3.0706661385525678,9.0
0.0,Metall kovshei: Fe,Metall kovshei: Fe_0,0.022,0.035053256055716395
0.0,Metall kovshei: Fe,Metall kovshei: Fe_1,0.035053256055716395,0.06909374768960215
0.0,Metall kovshei: Fe,Metall kovshei: Fe_2,0.06909374768960215,0.1878
0.0,Metall kovshei: Si,Metall kovshei: Si_0,0.028,0.014752699318181961
0.0,Metall kovshei: Si,Metall kovshei: Si_1,0.014752699318181961,0.06857267521365333
0.0,Metall kovshei: Si,Metall kovshei: Si_2,0.06857267521365333,0.3661
0.0,Metall: uroven,Metall: uroven_0,8.0,11.71493833368057
0.0,Metall: uroven,Metall: uroven_1,11.71493833368057,18.364397459677363
0.0,Metall: uroven,Metall: uroven_2,18.364397459677363,60.0
0.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_0,8.0,11.71184544811371
0.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_1,11.71184544811371,18.400700677347544
0.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_2,18.400700677347544,60.0
0.0,Napr. el-ra,Napr. el-ra_0,3.638,3.645109135908594
0.0,Napr. el-ra,Napr. el-ra_1,3.645109135908594,3.9151577745118824
0.0,Napr. el-ra,Napr. el-ra_2,3.9151577745118824,6.462999999999997
0.0,Napr. oshin.,Napr. oshin._0,0.160131553,0.717054734431829
0.0,Napr. oshin.,Napr. oshin._1,0.717054734431829,0.8471396706241887
0.0,Napr. oshin.,Napr. oshin._2,0.8471396706241887,0.993667689
0.0,Napr. priv.,Napr. priv._0,3.633,3.641199735971021
0.0,Napr. priv.,Napr. priv._1,3.641199735971021,3.9143925857839927
0.0,Napr. priv.,Napr. priv._2,3.9143925857839927,6.464
0.0,Napr. zad.,Napr. zad._0,3.61,3.636137870988897
0.0,Napr. zad.,Napr. zad._1,3.636137870988897,3.81722775972407
0.0,Napr. zad.,Napr. zad._2,3.81722775972407,5.682
0.0,Obr. EDS,Obr. EDS_0,1.194,1.497774381686712
0.0,Obr. EDS,Obr. EDS_1,1.497774381686712,1.8980172088068816
0.0,Obr. EDS,Obr. EDS_2,1.8980172088068816,2.267
0.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_0,1.0,6.25870145433254
0.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_1,6.25870145433254,27.179830655759204
0.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_2,27.179830655759204,82.0
0.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_0,1.0,12.423696653859988
0.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_1,12.423696653859988,34.735352706286264
0.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_2,34.735352706286264,90.0
0.0,RMPR: koeff.,RMPR: koeff._0,21.5,25.52390577400878
0.0,RMPR: koeff.,RMPR: koeff._1,25.52390577400878,32.58742877809357
0.0,RMPR: koeff.,RMPR: koeff._2,32.58742877809357,49.0
0.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_0,0.0,3.2420663587967313
0.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_1,3.2420663587967313,11.467257224384255
0.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_2,11.467257224384255,25.0
0.0,RMPR: kol-vo VIRA,RMPR: kol-vo VIRA_0,1.0,8.515443020987611
0.0,RMPR: kol-vo VIRA,RMPR: kol-vo VIRA_1,8.515443020987611,18.930626448847857
0.0,RMPR: kol-vo VIRA,RMPR: kol-vo VIRA_2,18.930626448847857,41.0
0.0,RMPR: vremia v ruch.rezh.,RMPR: vremia v ruch.rezh._0,0.0,-0.597167881545368
0.0,RMPR: vremia v ruch.rezh.,RMPR: vremia v ruch.rezh._1,-0.597167881545368,1.005211757230922
0.0,RMPR: vremia v ruch.rezh.,RMPR: vremia v ruch.rezh._2,1.005211757230922,15.3
0.0,RMPR: vremia zapreta,RMPR: vremia zapreta_0,0.0,-0.2626735205195682
0.0,RMPR: vremia zapreta,RMPR: vremia zapreta_1,-0.2626735205195682,0.35225304519964135
0.0,RMPR: vremia zapreta,RMPR: vremia zapreta_2,0.35225304519964135,5.599999999999999
0.0,Shum,Shum_0,0.005,0.006074770475143747
0.0,Shum,Shum_1,0.006074770475143747,0.017943511060505138
0.0,Shum,Shum_2,0.017943511060505138,0.086
0.0,Tsel. KO,Tsel. KO_0,2.25,2.274293109802702
0.0,Tsel. KO,Tsel. KO_1,2.274293109802702,2.3551498125717174
0.0,Tsel. KO,Tsel. KO_2,2.3551498125717174,2.7000000000000006
0.0,Tsel. napr. el-ra,Tsel. napr. el-ra_0,3.63,3.594280566198793
0.0,Tsel. napr. el-ra,Tsel. napr. el-ra_1,3.594280566198793,3.8177924931618614
0.0,Tsel. napr. el-ra,Tsel. napr. el-ra_2,3.8177924931618614,6.099999999999999
0.0,Tsel. temp. el-ta,Tsel. temp. el-ta_0,962.0,959.147894153666
0.0,Tsel. temp. el-ta,Tsel. temp. el-ta_1,959.147894153666,965.8621515084345
0.0,Tsel. temp. el-ta,Tsel. temp. el-ta_2,965.8621515084345,999.0
0.0,Upravlenie: temp-ra el-ta,Upravlenie: temp-ra el-ta_0,931.0,949.2495022791445
0.0,Upravlenie: temp-ra el-ta,Upravlenie: temp-ra el-ta_1,949.2495022791445,966.8517868552938
0.0,Upravlenie: temp-ra el-ta,Upravlenie: temp-ra el-ta_2,966.8517868552938,992.0
0.0,Upravlenie: temp-ra likv.,Upravlenie: temp-ra likv._0,913.0,942.5337017425115
0.0,Upravlenie: temp-ra likv.,Upravlenie: temp-ra likv._1,942.5337017425115,962.5322221200697
0.0,Upravlenie: temp-ra likv.,Upravlenie: temp-ra likv._2,962.5322221200697,980.0
0.0,Upravlenie: temp-ra peregreva,Upravlenie: temp-ra peregreva_0,0.0,-0.050691323068448035
0.0,Upravlenie: temp-ra peregreva,Upravlenie: temp-ra peregreva_1,-0.050691323068448035,11.020050654544772
0.0,Upravlenie: temp-ra peregreva,Upravlenie: temp-ra peregreva_2,11.020050654544772,51.0
0.0,Ustavka APG,Ustavka APG_0,1.1,1.2279134635808582
0.0,Ustavka APG,Ustavka APG_1,1.2279134635808582,1.385980503512342
0.0,Ustavka APG,Ustavka APG_2,1.385980503512342,2.2
0.0,Vremia APG v ruch.rezh.,Vremia APG v ruch.rezh._0,0.0,-0.2781665906304403
0.0,Vremia APG v ruch.rezh.,Vremia APG v ruch.rezh._1,-0.2781665906304403,0.4911346271601202
0.0,Vremia APG v ruch.rezh.,Vremia APG v ruch.rezh._2,0.4911346271601202,11.5
0.0,Vremia na golod.,Vremia na golod._0,0.0,-4.286628867115825
0.0,Vremia na golod.,Vremia na golod._1,-4.286628867115825,24.997131150220845
0.0,Vremia na golod.,Vremia na golod._2,24.997131150220845,141.0
0.0,Vremia otkl. APG,Vremia otkl. APG_0,0.0,-0.3130760531735145
0.0,Vremia otkl. APG,Vremia otkl. APG_1,-0.3130760531735145,0.48513084769406245
0.0,Vremia otkl. APG,Vremia otkl. APG_2,0.48513084769406245,11.9
0.0,Vremia pitaniia po bazovoi ustavke,Vremia pitaniia po bazovoi ustavke_0,5.8,8.840002166671214
0.0,Vremia pitaniia po bazovoi ustavke,Vremia pitaniia po bazovoi ustavke_1,8.840002166671214,12.98943110572367
0.0,Vremia pitaniia po bazovoi ustavke,Vremia pitaniia po bazovoi ustavke_2,12.98943110572367,21.5
0.0,Vremia v nedopitke,Vremia v nedopitke_0,1.2,4.350122795208795
0.0,Vremia v nedopitke,Vremia v nedopitke_1,4.350122795208795,7.593884524095874
0.0,Vremia v nedopitke,Vremia v nedopitke_2,7.593884524095874,10.7
0.0,Vremia v perepitke,Vremia v perepitke_0,0.5,4.957128133043756
0.0,Vremia v perepitke,Vremia v perepitke_1,4.957128133043756,7.602945127029509
0.0,Vremia v perepitke,Vremia v perepitke_2,7.602945127029509,9.5
0.0,Vremia v teste,Vremia v teste_0,0.0,-0.23542677052445876
0.0,Vremia v teste,Vremia v teste_1,-0.23542677052445876,1.078571194656087
0.0,Vremia v teste,Vremia v teste_2,1.078571194656087,5.3
0.0,Vremia zapreta APG,Vremia zapreta APG_0,0.0,-0.07386254461399527
0.0,Vremia zapreta APG,Vremia zapreta APG_1,-0.07386254461399527,0.07989545137816345
0.0,Vremia zapreta APG,Vremia zapreta APG_2,0.07989545137816345,2.5
0.0,Vylivka: L/O,Vylivka: L/O_0,1980.0,3715.7111657953924
0.0,Vylivka: L/O,Vylivka: L/O_1,3715.7111657953924,4491.60185359519
0.0,Vylivka: L/O,Vylivka: L/O_2,4491.60185359519,8810.0
0.0,Vylivka: zadanie,Vylivka: zadanie_0,2000.0,3782.837986806432
0.0,Vylivka: zadanie,Vylivka: zadanie_1,3782.837986806432,4346.304870336425
0.0,Vylivka: zadanie,Vylivka: zadanie_2,4346.304870336425,5170.0
1.0,APG,APG_0,21142.5,43036.84543839059
1.0,APG,APG_1,43036.84543839059,50327.32539734423
1.0,APG,APG_2,50327.32539734423,63004.5
1.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._0,0.0,21.18253286869796
1.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._1,21.18253286869796,103.89133076766568
1.0,AlF3: kol-vo doz v avt.rezh.,AlF3: kol-vo doz v avt.rezh._2,103.89133076766568,161.0
1.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_0,8.0,-50.34251010963321
1.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_1,-50.34251010963321,229.99156313993598
1.0,AlF3: ustavka pitaniia,AlF3: ustavka pitaniia_2,229.99156313993598,480.0
1.0,AlF3: ves dozy,AlF3: ves dozy_0,0.7,0.6936215749305358
1.0,AlF3: ves dozy,AlF3: ves dozy_1,0.6936215749305358,0.8721233130928331
1.0,AlF3: ves dozy,AlF3: ves dozy_2,0.8721233130928331,1.02
1.0,Cr. dobavka po shumam,Cr. dobavka po shumam_0,0.0,-0.0062804391533122185
1.0,Cr. dobavka po shumam,Cr. dobavka po shumam_1,-0.0062804391533122185,0.01830506036543341
1.0,Cr. dobavka po shumam,Cr. dobavka po shumam_2,0.01830506036543341,0.095
1.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_0,0.0,0.021379567461000608
1.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_1,0.021379567461000608,0.04891778102384713
1.0,Cr. dobavka pri zamene,Cr. dobavka pri zamene_2,0.04891778102384713,0.086
1.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_0,0.0,-0.005873891482755492
1.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_1,-0.005873891482755492,0.007292452088816099
1.0,Cr. vremennaia dobavka,Cr. vremennaia dobavka_2,0.007292452088816099,0.14
1.0,Dlit. shuma,Dlit. shuma_0,0.0,-1.1597574971355364
1.0,Dlit. shuma,Dlit. shuma_1,-1.1597574971355364,4.417856720088313
1.0,Dlit. shuma,Dlit. shuma_2,4.417856720088313,21.6
1.0,Dlitelnost vylivki,Dlitelnost vylivki_0,1.0,19.922608885251698
1.0,Dlitelnost vylivki,Dlitelnost vylivki_1,19.922608885251698,30.31666504214104
1.0,Dlitelnost vylivki,Dlitelnost vylivki_2,30.31666504214104,52.0
1.0,Dob. napr.,Dob. napr._0,0.0,-0.028528199656071097
1.0,Dob. napr.,Dob. napr._1,-0.028528199656071097,0.08485216857418187
1.0,Dob. napr.,Dob. napr._2,0.08485216857418187,1.867
1.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_0,-0.067,-0.0075492588006106955
1.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_1,-0.0075492588006106955,0.03604547092182278
1.0,Dobavka k ust. po T elektrolita,Dobavka k ust. po T elektrolita_2,0.03604547092182278,0.09
1.0,Doza glinozema,Doza glinozema_0,5.8,6.491793505804178
1.0,Doza glinozema,Doza glinozema_1,6.491793505804178,7.235872200247658
1.0,Doza glinozema,Doza glinozema_2,7.235872200247658,8.0
1.0,El-lit: CaF2,El-lit: CaF2_0,4.88,5.306157059021742
1.0,El-lit: CaF2,El-lit: CaF2_1,5.306157059021742,5.73350422808726
1.0,El-lit: CaF2,El-lit: CaF2_2,5.73350422808726,6.37
1.0,El-lit: KO,El-lit: KO_0,2.08,2.291745286515468
1.0,El-lit: KO,El-lit: KO_1,2.291745286515468,2.510027975090445
1.0,El-lit: KO,El-lit: KO_2,2.510027975090445,2.736666666666667
1.0,El-lit: MgF2,El-lit: MgF2_0,0.2,0.5354086295397938
1.0,El-lit: MgF2,El-lit: MgF2_1,0.5354086295397938,0.6944738171627337
1.0,El-lit: MgF2,El-lit: MgF2_2,0.6944738171627337,1.06
1.0,El-lit: temp-ra,El-lit: temp-ra_0,927.0,947.8449189309765
1.0,El-lit: temp-ra,El-lit: temp-ra_1,947.8449189309765,966.7883823202267
1.0,El-lit: temp-ra,El-lit: temp-ra_2,966.7883823202267,1010.0
1.0,El-t: uroven (fakt),El-t: uroven (fakt)_0,8.0,15.156627297221968
1.0,El-t: uroven (fakt),El-t: uroven (fakt)_1,15.156627297221968,20.6126034720088
1.0,El-t: uroven (fakt),El-t: uroven (fakt)_2,20.6126034720088,32.0
1.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_0,0.6,5.403457614437084
1.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_1,5.403457614437084,10.710765097801076
1.0,Int. mezhdu vyl. i zam. anoda,Int. mezhdu vyl. i zam. anoda_2,10.710765097801076,23.8
1.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._0,0.4,1.6007941694270267
1.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._1,1.6007941694270267,5.0966617992618195
1.0,Int. mezhdu zam. i vyl.,Int. mezhdu zam. i vyl._2,5.0966617992618195,16.0
1.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_0,0.8,2.389335911437055
1.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_1,2.389335911437055,8.35135528142805
1.0,Int. mezhdu zam. i zas. anoda,Int. mezhdu zam. i zas. anoda_2,8.35135528142805,43.2
1.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._0,0.0,5782.136950066099
1.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._1,5782.136950066099,7639.236155994507
1.0,Kol-vo doz APG v avt.rezh.,Kol-vo doz APG v avt.rezh._2,7639.236155994507,9693.0
1.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_0,71.0,746.0832946252654
1.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_1,746.0832946252654,1388.0148766933103
1.0,Kol-vo doz APG v nedopitke,Kol-vo doz APG v nedopitke_2,1388.0148766933103,1905.0
1.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_0,125.0,2540.8548154331215
1.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_1,2540.8548154331215,4144.771263186246
1.0,Kol-vo doz APG v nominale,Kol-vo doz APG v nominale_2,4144.771263186246,6837.0
1.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_0,45.0,1691.3817402163913
1.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_1,1691.3817402163913,2941.4113300434738
1.0,Kol-vo doz APG v perepitke,Kol-vo doz APG v perepitke_2,2941.4113300434738,3745.0
1.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_0,0.0,-35.77437025436245
1.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_1,-35.77437025436245,118.23701221491237
1.0,Kol-vo doz APG v teste,Kol-vo doz APG v teste_2,118.23701221491237,782.0
1.0,Kol-vo nedopitok,Kol-vo nedopitok_0,0.0,11.798527239775197
1.0,Kol-vo nedopitok,Kol-vo nedopitok_1,11.798527239775197,18.544275790527834
1.0,Kol-vo nedopitok,Kol-vo nedopitok_2,18.544275790527834,25.0
1.0,Kol-vo perepitok,Kol-vo perepitok_0,0.0,9.550500369525523
1.0,Kol-vo perepitok,Kol-vo perepitok_1,9.550500369525523,16.68813599411084
1.0,Kol-vo perepitok,Kol-vo perepitok_2,16.68813599411084,22.0
1.0,Kol-vo testov,Kol-vo testov_0,0.0,-0.07473740047185373
1.0,Kol-vo testov,Kol-vo testov_1,-0.07473740047185373,4.425116188350642
1.0,Kol-vo testov,Kol-vo testov_2,4.425116188350642,10.0
1.0,Metall kovshei: Fe,Metall kovshei: Fe_0,0.0188,0.03297894084992478
1.0,Metall kovshei: Fe,Metall kovshei: Fe_1,0.03297894084992478,0.07321974552248907
1.0,Metall kovshei: Fe,Metall kovshei: Fe_2,0.07321974552248907,0.1553
1.0,Metall kovshei: Si,Metall kovshei: Si_0,0.0244,0.017540318789843076
1.0,Metall kovshei: Si,Metall kovshei: Si_1,0.017540318789843076,0.06892999319636378
1.0,Metall kovshei: Si,Metall kovshei: Si_2,0.06892999319636378,0.3254
1.0,Metall: uroven,Metall: uroven_0,9.0,13.135260598117487
1.0,Metall: uroven,Metall: uroven_1,13.135260598117487,17.67513401208463
1.0,Metall: uroven,Metall: uroven_2,17.67513401208463,21.0
1.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_0,9.0,13.114868053168163
1.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_1,13.114868053168163,17.76867381401182
1.0,Metall: uroven (rasch.),Metall: uroven (rasch.)_2,17.76867381401182,25.0
1.0,Napr. el-ra,Napr. el-ra_0,2.505,3.64308532124055
1.0,Napr. el-ra,Napr. el-ra_1,3.64308532124055,3.9628533760774554
1.0,Napr. el-ra,Napr. el-ra_2,3.9628533760774554,6.282999999999999
1.0,Napr. oshin.,Napr. oshin._0,0.039000595,0.4892883789027329
1.0,Napr. oshin.,Napr. oshin._1,0.4892883789027329,0.8397721847871713
1.0,Napr. oshin.,Napr. oshin._2,0.8397721847871713,0.993667689
1.0,Napr. priv.,Napr. priv._0,0.107,3.332182583927604
1.0,Napr. priv.,Napr. priv._1,3.332182583927604,4.181402643345129
1.0,Napr. priv.,Napr. priv._2,4.181402643345129,6.238
1.0,Napr. zad.,Napr. zad._0,3.602,3.6504177774219118
1.0,Napr. zad.,Napr. zad._1,3.6504177774219118,3.8601920710629205
1.0,Napr. zad.,Napr. zad._2,3.8601920710629205,4.445
1.0,Obr. EDS,Obr. EDS_0,0.969,1.3889924536851408
1.0,Obr. EDS,Obr. EDS_1,1.3889924536851408,1.8612821675269775
1.0,Obr. EDS,Obr. EDS_2,1.8612821675269775,2.225
1.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_0,1.0,7.129656996098051
1.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_1,7.129656996098051,31.9491891577481
1.0,RMPR: dlit. MAINA,RMPR: dlit. MAINA_2,31.9491891577481,97.0
1.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_0,3.0,13.340912748605843
1.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_1,13.340912748605843,38.21912567598589
1.0,RMPR: dlit. VIRA,RMPR: dlit. VIRA_2,38.21912567598589,92.0
1.0,RMPR: koeff.,RMPR: koeff._0,21.8,27.3816716006904
1.0,RMPR: koeff.,RMPR: koeff._1,27.3816716006904,35.64676259719623
1.0,RMPR: koeff.,RMPR: koeff._2,35.64676259719623,45.6
1.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_0,0.0,3.511660017804262
1.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_1,3.511660017804262,14.062203618559375
1.0,RMPR: kol-vo MAINA,RMPR: kol-vo MAINA_2,14.062203618559375,34.0
1.0,RMPR: kol-vo VIRA,RMPR: kol-vo VIRA_0,0.0,8.703105845977412
1.0,RMPR: kol-vo VIRA,RMPR: kol-vo VIRA_1,8.703105845977412,20.79689415402259
